roll,pitch,yaw,longi,lati,chargeRC,chargeTele,temp,velocity,result
-41.15,22.59,8.13,0.0,0.0,0.07,7.6,22,0,1
72.56,13.89,149.62,0.0,0.0,0.04,7.25,22,0,1
16.1,-39.08,358.75,0.0,0.0,0.04,7.51,22,0,1
5.12,-6.04,226.26,0.0,0.0,0.84,8.52,21,0,0
109.83,-5.1,198.91,0.0,0.0,0.35,8.1,21,0,1
3.93,-3.01,220.06,0.0,0.0,0.49,8.24,21,0,1
-1.41,-29.23,144.19,0.0,0.0,0.07,7.6,22,0,1
-12.36,-13.45,182.23,0.0,0.0,0.07,7.6,22,0,1
-4.79,31.32,326.77,0.0,0.0,0.07,6.87,22,0,1
9.27,-34.61,138.74,0.0,0.0,0.04,7.42,22,0,1
-5.67,40.23,129.81,0.0,0.0,0.04,7.37,22,0,1
-173.2,14.5,283.26,0.0,0.0,0.28,7.82,22,0,1
0.5,17.34,254.69,0.0,0.0,0.56,7.89,22,0,1
3.97,-3.52,221.47,0.0,0.0,0.75,8.48,21,0,0
-3.1,-36.92,139.9,0.0,0.0,0.07,7.56,22,0,1
3.53,-3.16,219.77,0.0,0.0,0.44,8.24,21,0,1
-1.63,-27.01,150.2,0.0,0.0,0.04,7.56,22,0,1
3.6,4.34,293.07,0.0,0.0,0.3,7.84,22,0,1
3.99,-3.55,217.76,0.0,0.0,0.54,8.29,21,0,1
10.49,-35.25,123.81,0.0,0.0,0.04,7.42,22,0,1
-13.16,1.19,117.46,0.0,0.0,0.14,7.56,22,0,1
5.93,-5.37,227.36,0.0,0.0,1.1,8.76,21,0,0
58.86,-52.62,13.01,0.0,0.0,0.09,7.65,22,0,1
10.28,-34.93,121.99,0.0,0.0,0.04,7.49,22,0,1
-7.94,-31.67,240.23,0.0,0.0,0.04,7.39,22,0,1
-47.44,38.68,47.55,0.0,0.0,0.37,7.82,22,0,1
-152.67,52.34,171.46,0.0,0.0,0.02,7.34,22,0,1
163.88,-81.76,257.63,0.0,0.0,0.04,7.39,22,0,1
-4.49,-28.22,158.75,0.0,0.0,0.07,7.58,22,0,1
-2.39,-28.37,149.17,0.0,0.0,0.07,7.63,22,0,1
44.42,-37.84,22.83,0.0,0.0,0.07,7.56,22,0,1
174.51,-12.68,333.1,0.0,0.0,0.07,7.56,22,0,1
-8.96,-1.14,228.95,0.0,0.0,2.07,9.49,21,0,0
90.73,-5.17,53.42,0.0,0.0,0.04,7.44,22,0,1
-133.29,44.49,51.56,0.0,0.0,0.51,8.29,21,0,1
4.85,-6.96,226.69,0.0,0.0,1.03,8.71,21,0,0
6.45,-4.81,226.27,0.0,0.0,1.01,8.69,21,0,0
42.25,12.4,286.7,0.0,0.0,0.04,7.53,22,0,1
5.07,-0.93,215.83,0.0,0.0,0.54,8.29,21,0,1
9.28,-35.03,129.12,0.0,0.0,0.04,7.42,22,0,1
3.38,-3.84,220.74,0.0,0.0,1.2,8.83,21,0,0
-30.61,-39.29,92.94,0.0,0.0,-0.01,7.32,22,0,0
6.44,-4.76,226.49,0.0,0.0,0.96,8.64,21,0,0
4.8,-7.31,226.53,0.0,0.0,0.87,8.57,21,0,0
98.72,-27.67,35.38,0.0,0.0,0.58,8.07,22,0,1
159.76,6.05,342.43,0.0,0.0,0.07,7.56,22,0,1
69.78,16.74,281.69,0.0,0.0,0.02,7.25,22,0,1
9.6,-33.84,142.39,0.0,0.0,0.04,7.56,22,0,1
5.03,-7.14,226.39,0.0,0.0,0.84,8.59,21,0,0
1.21,19.65,228.66,0.0,0.0,0.04,7.44,22,0,1
-49.06,14.91,321.01,0.0,0.0,0.07,7.53,22,0,1
-31.05,-9.01,101.77,0.0,0.0,0.04,7.42,22,0,1
-18.79,4.24,3.35,0.0,0.0,0.72,7.98,22,0,1
3.19,-3.39,221.17,0.0,0.0,0.75,8.48,21,0,0
-3.16,4.52,340.82,0.0,0.0,0.04,7.6,22,0,1
-120.53,-36.6,173.91,0.0,0.0,0.04,7.56,22,0,1
-110.12,54.38,79.16,0.0,0.0,0.49,8.26,21,0,1
4.79,10.07,199.63,0.0,0.0,0.51,7.96,22,0,1
4.95,-1.35,215.93,0.0,0.0,0.75,8.5,21,0,0
3.49,-2.53,217.6,0.0,0.0,0.49,8.29,21,0,1
-12.01,-8.84,176.83,0.0,0.0,0.07,7.67,22,0,1
90.86,0.3,142.44,0.0,0.0,0.04,7.32,22,0,1
6.13,-4.45,226.6,0.0,0.0,0.94,8.62,21,0,0
141.54,-8.96,196.64,0.0,0.0,0.61,8.38,21,0,1
-101.17,-39.69,307.16,0.0,0.0,0.04,7.44,22,0,1
151.08,-27.63,196.9,0.0,0.0,0.09,7.77,22,0,1
166.81,33.01,172.83,0.0,0.0,0.09,7.72,22,0,1
4.44,-2.72,218.38,0.0,0.0,0.47,8.24,21,0,1
42.65,-7.53,254.06,0.0,0.0,0.16,7.82,22,0,1
4.15,-2.91,218.7,0.0,0.0,0.47,8.22,21,0,1
0.0,0.0,180.0,0.0,0.0,0.51,8.31,36,0,1
14.18,-5.02,190.98,0.0,0.0,1.34,8.92,21,0,0
-1.69,-28.56,147.03,0.0,0.0,0.07,7.56,22,0,1
